,fulfilment,shipment_service_level,category,size,amount,shipping_state,rejected,region
194,0,0,4,10,654.0,15,1,4
196,1,1,6,6,744.0,30,0,4
203,1,1,7,7,497.0,8,0,0
205,0,0,5,6,0.0,13,1,3
212,1,1,7,10,0.0,25,0,1
215,0,0,6,8,0.0,33,1,3
217,1,1,5,9,399.0,20,0,5
224,1,1,6,6,725.0,4,0,1
227,1,1,4,10,1058.93,11,1,3
235,1,1,4,5,999.0,15,0,4
236,1,1,7,6,295.0,15,0,4
242,0,0,5,7,0.0,20,1,5
244,1,1,4,9,1115.0,35,1,1
246,1,1,4,7,499.0,20,0,5
247,1,1,6,6,791.0,34,0,3
249,0,0,7,6,0.0,15,1,4
250,1,1,7,6,0.0,15,1,4
253,1,1,7,8,533.0,31,0,4
261,1,1,4,0,563.0,20,0,5
263,1,1,7,10,458.0,35,0,1
266,1,1,4,10,1099.0,20,0,5
270,1,1,4,7,995.54,15,1,4
271,0,0,4,8,0.0,4,1,1
282,1,1,7,6,459.0,33,0,3
283,0,0,4,9,597.0,15,1,4
290,1,1,5,8,339.0,31,0,4
292,1,1,4,8,888.0,35,0,1
294,1,1,7,0,487.0,25,0,1
301,0,0,6,6,744.0,19,1,0
302,1,1,7,0,487.0,15,0,4
309,1,1,6,0,825.0,15,0,4
313,1,1,7,0,471.0,11,0,3
314,1,1,7,10,342.0,19,0,0
322,0,0,7,6,475.0,19,1,0
326,1,1,6,6,725.0,31,0,4
327,1,1,7,7,473.33,8,1,0
328,0,0,4,6,0.0,31,1,4
329,1,1,4,6,759.0,22,0,2
330,0,0,7,6,475.0,19,1,0
331,0,0,4,10,654.0,15,1,4
332,0,0,6,10,791.0,15,1,4
340,1,1,6,6,744.0,11,0,3
343,1,1,7,5,459.0,33,0,3
344,0,0,4,10,654.0,15,1,4
354,0,0,4,5,899.0,33,1,3
356,1,1,7,0,471.0,16,0,4
359,1,1,7,8,544.0,15,0,4
363,0,0,4,5,0.0,34,1,3
374,1,1,6,6,0.0,8,1,0
375,1,1,6,5,885.0,3,0,2
378,1,1,7,3,505.0,16,0,4
380,1,1,7,6,344.76,33,1,3
381,0,0,4,0,0.0,20,1,5
382,1,1,7,8,666.0,20,0,5
383,1,1,7,7,399.0,31,0,4
384,1,1,7,7,432.0,34,0,3
388,1,1,6,9,0.0,27,0,3
404,1,1,6,10,734.29,31,1,4
413,0,0,6,8,0.0,20,1,5
414,1,1,6,9,725.0,31,0,4
415,1,1,7,8,437.14,30,1,4
420,0,0,4,10,824.0,26,1,4
421,1,1,7,7,353.0,22,0,2
426,0,0,7,5,363.0,15,1,4
428,0,0,7,8,0.0,20,1,5
431,1,1,7,7,568.0,15,0,4
433,1,1,7,7,568.0,15,1,4
437,1,1,4,10,570.48,20,1,5
438,1,1,7,6,399.0,31,0,4
441,1,1,4,9,0.0,20,0,5
442,1,1,4,6,631.0,20,0,5
448,0,0,7,9,0.0,30,1,4
450,1,1,7,8,399.0,33,0,3
456,0,0,7,10,0.0,16,1,4
466,1,1,5,5,599.0,11,1,3
467,1,1,0,8,329.0,27,0,3
470,0,0,4,9,0.0,3,1,2
471,0,0,7,5,435.0,31,1,4
474,0,0,7,8,399.0,15,1,4
476,1,1,7,0,549.0,15,0,4
479,1,1,4,5,599.0,31,0,4
481,1,1,7,10,533.0,31,0,4
485,0,0,7,6,399.0,20,1,5
489,0,0,7,0,0.0,20,1,5
491,1,1,7,10,362.0,20,0,5
495,1,1,4,0,563.0,20,0,5
500,0,0,6,10,0.0,6,1,1
503,0,1,7,7,0.0,33,1,3
507,1,1,4,5,549.0,34,0,3
509,0,0,7,8,0.0,20,1,5
510,1,1,7,6,570.48,31,1,4
511,1,1,7,0,319.0,30,0,4
515,1,1,5,6,463.0,31,0,4
518,0,0,7,7,0.0,25,1,1
521,0,0,7,10,0.0,10,1,5
529,1,1,7,0,471.0,15,0,4
535,0,0,4,7,0.0,15,1,4
536,0,0,7,10,471.0,15,1,4
537,1,1,7,10,386.67,15,1,4
538,1,1,7,10,452.38,4,1,1
540,0,0,4,5,0.0,20,1,5
547,0,0,4,10,0.0,11,1,3
548,0,0,6,7,588.0,1,1,4
552,1,1,5,5,625.0,20,0,5
560,1,1,5,5,518.0,8,0,0
563,1,1,7,0,0.0,33,1,3
569,1,1,7,10,364.0,20,0,5
571,0,0,6,10,899.0,15,1,4
572,0,0,4,10,0.0,27,1,3
579,1,1,6,7,825.0,10,0,5
583,1,1,7,9,568.0,11,0,3
593,0,0,4,8,0.0,9,1,4
595,1,1,4,5,1099.0,13,0,3
597,0,0,4,7,999.0,33,1,3
602,0,0,4,0,0.0,31,1,4
611,1,1,4,10,696.0,20,0,5
615,0,0,7,9,329.0,30,1,4
616,0,0,7,9,318.0,30,1,4
617,1,1,7,10,499.0,30,0,4
618,0,0,4,5,597.0,16,1,4
619,1,1,7,8,487.0,30,0,4
620,1,1,7,8,363.0,30,0,4
624,1,1,7,10,562.0,15,0,4
626,0,0,4,6,1112.0,4,1,1
630,0,0,4,9,0.0,14,1,1
631,0,0,7,0,0.0,28,1,5
632,0,0,7,10,0.0,28,1,5
633,0,0,4,5,0.0,11,1,3
639,0,1,7,10,0.0,20,1,5
651,1,1,7,0,358.1,30,1,4
652,0,0,4,6,0.0,4,1,1
657,1,1,5,10,518.0,20,0,5
658,1,1,4,6,759.0,8,0,0
663,1,1,4,9,888.0,33,0,3
665,1,1,7,5,487.0,31,0,4
666,1,1,4,5,597.0,31,0,4
667,1,1,7,0,363.0,15,0,4
671,0,0,4,6,0.0,25,1,1
672,1,1,7,0,0.0,11,1,3
674,1,1,4,0,788.0,22,0,2
675,0,0,4,10,0.0,11,1,3
676,1,1,4,10,1058.93,11,1,3
680,1,1,7,2,700.96,10,1,5
683,1,1,4,0,662.0,1,0,4
686,1,1,7,7,316.0,15,0,4
691,0,0,5,5,0.0,6,1,1
696,1,1,4,8,1099.0,31,0,4
699,1,1,7,0,362.0,7,0,5
700,1,1,7,0,342.0,7,0,5
701,1,1,7,0,363.0,7,0,5
708,0,0,7,0,0.0,31,1,4
711,0,0,7,6,0.0,15,1,4
713,0,0,4,10,0.0,33,1,3
714,1,1,7,8,329.0,8,0,0
719,1,1,7,7,280.95,30,1,4
720,0,0,7,7,283.0,30,1,4
726,1,1,7,7,399.0,35,0,1
729,1,1,0,5,0.0,3,0,2
730,1,1,7,0,471.0,10,0,5
731,1,1,7,5,0.0,15,1,4
737,0,0,7,6,0.0,16,1,4
738,1,1,7,7,399.0,31,0,4
740,1,1,5,10,493.33,20,1,5
742,1,1,4,5,666.0,20,0,5
748,0,0,4,6,0.0,35,1,1
755,1,1,7,6,459.0,15,0,4
758,0,0,7,8,363.0,31,1,4
761,1,1,7,3,692.0,10,0,5
763,1,1,7,8,363.0,30,0,4
769,1,1,7,9,666.0,20,0,5
770,0,0,4,9,0.0,20,1,5
771,1,1,4,5,696.0,31,0,4
777,1,1,7,10,568.0,30,0,4
783,1,1,5,5,469.52,20,1,5
785,1,1,4,0,680.0,31,0,4
788,1,1,7,5,399.0,34,0,3
796,1,1,6,9,725.0,15,0,4
797,1,1,7,7,295.0,15,0,4
811,1,1,7,6,499.0,8,0,0
812,1,1,5,6,518.0,8,0,0
818,1,1,7,0,0.0,15,1,4
820,0,0,4,5,0.0,33,1,3
821,1,1,6,5,413.0,20,0,5
825,1,1,7,3,659.05,20,1,5
833,1,1,5,7,518.0,25,1,1
834,0,0,7,8,0.0,25,1,1
839,1,1,4,6,1099.0,35,0,1
842,1,1,7,0,534.0,20,0,5
843,1,1,4,6,981.25,8,1,0
847,1,1,4,6,981.25,35,1,1
849,0,0,4,8,0.0,30,1,4
855,0,0,4,10,626.0,30,1,4
856,0,0,6,10,0.0,31,1,4
857,0,0,7,6,0.0,27,1,3
859,1,1,7,5,280.0,15,0,4
864,0,0,6,6,0.0,31,1,4
865,1,1,7,6,475.0,20,0,5
878,0,0,7,8,368.0,33,1,3
891,1,1,6,8,744.0,30,0,4
892,0,0,7,7,0.0,33,1,3
896,1,1,4,8,626.0,20,0,5
898,1,1,6,8,0.0,30,1,4
909,0,0,4,6,597.0,19,1,0
915,1,1,7,0,449.0,28,0,5
917,1,1,5,7,391.0,16,0,4
918,1,1,7,7,399.0,1,0,4
920,1,1,7,7,249.0,30,0,4
921,1,1,4,5,1099.0,20,0,5
925,1,1,7,10,399.05,30,1,4
926,1,1,7,10,463.81,30,1,4
929,0,0,5,7,0.0,16,1,4
931,1,1,6,8,0.0,20,1,5
936,1,1,7,6,474.0,15,0,4
938,1,1,7,3,659.05,20,1,5
939,1,1,5,10,413.0,20,0,5
940,1,1,7,7,495.0,30,0,4
941,1,1,7,5,459.0,15,0,4
947,1,1,7,8,0.0,33,0,3
948,1,1,7,5,280.95,31,1,4
950,0,0,4,6,626.0,33,1,3
954,1,1,7,5,452.38,30,1,4
956,0,0,4,5,0.0,15,1,4
957,1,1,6,9,725.0,16,0,4
960,0,0,7,8,0.0,20,1,5
961,0,0,4,5,449.0,20,1,5
966,0,0,7,6,0.0,3,1,2
968,0,0,5,7,0.0,27,1,3
969,0,0,4,0,0.0,34,1,3
971,1,1,4,0,613.0,8,1,0
975,1,1,7,8,499.0,20,0,5
976,1,1,7,8,499.0,20,0,5
980,1,1,2,8,783.0,31,0,4
983,1,1,4,8,653.0,30,0,4
986,1,1,4,10,0.0,15,0,4
989,1,1,7,5,362.0,31,0,4
999,1,1,4,5,922.0,31,0,4
1002,1,1,4,7,951.43,35,1,1
1006,1,1,7,0,685.0,6,0,1
1008,1,1,4,6,788.0,26,0,4
1009,0,0,4,10,0.0,25,1,1
1010,0,0,6,5,0.0,34,1,3
1012,0,0,7,8,0.0,20,1,5
1014,1,1,6,6,791.0,33,0,3
1015,0,0,4,9,0.0,1,1,4
1017,0,0,4,10,852.0,20,1,5
1019,0,0,4,8,599.0,8,1,0
1023,1,1,4,5,696.0,3,0,2
1025,0,0,7,10,0.0,30,1,4
1026,0,0,7,10,0.0,30,1,4
1029,1,1,7,0,685.0,35,0,1
1034,1,1,6,8,0.0,30,1,4
1040,1,1,7,7,517.0,33,0,3
1041,1,1,4,10,1092.0,33,0,3
1045,0,0,7,0,329.0,15,1,4
1046,1,1,7,5,329.0,20,0,5
1050,0,0,4,0,0.0,20,1,5
1051,1,1,4,6,722.86,6,1,1
1062,1,1,6,10,699.0,31,1,4
1064,0,0,4,0,654.0,20,1,5
1069,1,1,7,6,437.14,15,1,4
1076,1,1,7,10,635.0,10,0,5
1082,1,1,7,8,487.0,20,0,5
1093,1,1,4,8,582.0,30,0,4
1097,0,0,4,8,888.0,14,1,1
1098,1,1,7,10,517.0,20,0,5
1104,1,1,7,8,0.0,4,0,1
1105,1,1,5,8,493.0,35,0,1
1106,1,1,5,10,0.0,20,1,5
1107,0,0,7,8,568.0,20,1,5
1108,1,1,7,8,399.0,33,0,3
1112,0,0,6,6,0.0,28,1,5
1117,0,0,4,9,0.0,20,1,5
1120,0,0,7,9,0.0,10,1,5
1126,0,0,4,5,597.0,20,1,5
1134,1,1,7,8,280.0,15,0,4
1138,1,1,4,6,722.86,10,1,5
1141,1,1,4,5,1115.0,31,0,4
1154,1,1,7,7,499.0,35,0,1
1158,0,0,4,7,0.0,35,1,1
1160,1,1,7,10,458.0,32,0,2
1161,0,0,7,7,0.0,16,1,4
1162,1,1,7,8,329.0,16,0,4
1164,1,1,4,0,491.43,11,1,3
1165,1,1,7,6,399.0,28,0,5
1168,1,1,4,6,759.0,11,0,3
1169,1,1,4,8,613.0,33,0,3
1170,0,0,4,0,684.0,19,1,0
1175,1,1,5,10,0.0,20,1,5
1181,0,0,4,0,0.0,19,1,0
1184,1,1,7,8,300.95,15,1,4
1185,1,1,7,8,266.67,15,1,4
1189,0,0,4,7,0.0,14,1,1
1190,1,1,7,9,432.0,16,0,4
1191,0,0,4,9,449.0,30,1,4
1192,1,1,6,0,566.0,31,0,4
1193,1,1,6,10,885.0,31,0,4
1195,1,1,4,8,888.0,1,0,4
1196,1,1,4,5,599.0,20,0,5
1197,1,1,4,10,833.0,14,0,1
1205,1,1,7,8,375.0,15,0,4
1207,0,0,7,10,0.0,30,1,4
1212,1,1,7,7,549.0,35,0,1
1213,1,1,6,9,771.0,1,0,4
1216,0,0,4,5,0.0,31,1,4
1217,1,1,4,6,759.0,33,0,3
1222,0,0,5,9,540.0,27,1,3
1223,0,0,7,5,0.0,31,1,4
1226,1,1,7,5,0.0,30,0,4
1234,0,0,4,6,0.0,31,1,4
1238,0,0,5,0,518.0,27,1,3
1239,0,0,7,7,0.0,16,1,4
1240,1,1,6,10,885.0,20,0,5
1244,1,1,7,8,316.0,31,0,4
1247,0,0,5,7,0.0,30,1,4
1249,1,1,4,6,751.0,6,0,1
1250,0,0,7,0,0.0,35,1,1
1251,1,1,4,5,824.0,33,0,3
1254,1,1,7,6,0.0,15,0,4
1255,1,1,5,5,599.0,10,0,5
1256,1,1,5,5,523.0,10,0,5
1257,1,1,5,5,625.0,10,0,5
1259,1,1,7,6,0.0,15,0,4
1261,1,1,7,8,487.0,3,0,2
1263,0,0,4,10,0.0,8,1,0
1268,0,0,5,5,625.0,10,1,5
1269,1,1,4,5,715.0,20,0,5
1270,1,1,7,8,725.0,20,0,5
1271,0,0,6,7,825.0,10,1,5
1273,1,1,4,0,792.0,20,0,5
1274,0,0,4,8,0.0,11,1,3
1282,0,0,6,7,0.0,31,1,4
1283,0,0,7,0,0.0,20,1,5
1284,1,1,7,0,690.48,20,1,5
1287,0,0,7,9,0.0,15,1,4
1293,0,0,4,6,626.0,15,1,4
1295,0,0,4,10,0.0,10,1,5
1298,1,1,4,10,545.0,30,0,4
1299,0,0,7,8,487.0,15,1,4
1302,1,1,4,8,560.0,5,0,3
1305,1,1,7,6,329.0,11,0,3
1307,1,1,4,8,722.86,20,1,5
1310,1,1,7,5,318.0,20,0,5
1314,1,1,5,7,423.0,4,1,1
1316,1,1,4,8,825.0,30,0,4
1318,0,0,4,9,0.0,33,1,3
1321,1,1,7,7,249.0,15,0,4
1342,1,1,7,8,463.81,35,1,1
1343,0,0,4,5,545.0,15,1,4
1344,1,1,4,10,613.0,20,0,5
1349,1,1,7,9,599.0,30,0,4
1350,1,1,7,6,487.0,31,0,4
1351,1,1,4,8,449.0,31,0,4
1354,1,1,7,10,725.0,25,0,1
1356,1,1,4,7,582.0,20,0,5
1357,1,1,4,8,582.0,20,0,5
1358,0,0,4,5,0.0,31,1,4
1367,1,1,6,9,519.0,8,0,0
1374,1,1,7,7,446.0,1,0,4
1375,1,1,4,5,536.19,16,1,4
1383,1,1,6,7,393.33,4,1,1
1390,1,1,4,5,1115.0,11,0,3
1394,1,1,4,8,626.0,20,0,5
1402,1,1,7,8,399.0,20,0,5
1407,0,0,4,8,0.0,16,1,4
1411,0,0,4,6,0.0,12,1,3
1412,1,1,4,6,872.38,16,1,4
1413,0,0,4,6,1065.0,1,1,4
1418,1,1,7,0,725.0,35,0,1
1419,1,1,4,10,881.0,10,0,5
1431,1,1,7,8,635.0,19,0,0
1432,1,1,7,5,477.0,20,0,5
1434,1,1,4,6,0.0,30,1,4
1435,1,1,4,9,1115.0,16,0,4
1441,1,1,4,10,597.0,10,0,5
1452,1,1,4,5,597.0,30,0,4
1454,1,1,7,8,350.48,16,1,4
1461,1,1,6,5,869.0,10,0,5
1467,1,1,4,0,548.0,30,0,4
1468,1,1,7,8,295.0,16,0,4
1471,1,1,7,5,540.95,30,1,4
1473,1,1,6,10,488.0,15,0,4
1475,0,0,4,7,0.0,29,1,2
1476,1,1,4,0,888.0,10,0,5
1478,1,1,7,10,277.14,20,1,5
1479,1,1,7,10,300.95,20,1,5
1480,1,1,7,10,313.33,20,1,5
1481,0,0,6,5,899.0,30,1,4
1482,1,1,4,6,750.48,20,1,5
1484,1,1,6,6,725.0,16,0,4
1486,1,1,7,0,363.0,30,0,4
1490,0,0,4,8,599.0,13,1,3
1498,1,1,4,0,1126.0,15,0,4
1502,1,1,6,7,413.0,30,0,4
1504,0,0,7,6,0.0,31,1,4
1508,1,1,7,6,725.0,4,0,1
1510,1,1,6,9,566.0,30,0,4
1513,0,0,7,6,399.0,15,1,4
1515,0,0,4,7,0.0,11,1,3
1517,1,1,5,10,413.0,9,0,4
1518,0,0,5,9,0.0,9,1,4
1519,0,0,4,7,852.0,35,1,1
1520,1,1,4,0,570.48,11,1,3
1521,0,0,4,0,496.0,11,1,3
1525,0,0,4,5,0.0,11,1,3
1528,0,0,6,5,0.0,33,1,3
1532,0,0,7,6,376.0,15,1,4
1534,0,0,7,6,376.0,15,1,4
1535,1,1,7,8,259.0,30,0,4
1551,0,0,7,6,0.0,3,1,2
1554,1,1,7,8,329.0,35,0,1
1559,1,1,5,6,413.0,31,0,4
1561,1,1,7,8,499.0,35,1,1
1566,1,1,6,6,899.0,31,0,4
1567,1,1,6,6,859.0,31,0,4
1570,1,1,4,9,771.0,15,0,4
1572,1,1,4,9,995.54,20,1,5
1575,1,1,4,8,1143.75,35,1,1
1576,0,0,5,8,665.0,35,1,1
1579,1,1,5,7,545.0,19,0,0
1580,0,0,4,7,0.0,13,1,3
1584,1,1,4,8,816.0,11,0,3
1585,0,0,7,7,399.0,20,1,5
1591,0,0,7,8,399.0,33,1,3
1597,0,0,7,7,399.0,33,1,3
1598,1,1,4,9,969.0,1,0,4
1599,0,0,7,5,345.0,30,1,4
1601,0,0,4,0,545.0,11,1,3
1602,0,0,7,0,517.0,11,1,3
1603,1,1,6,0,725.0,15,0,4
1604,1,1,7,8,399.0,35,0,1
1608,1,1,6,6,859.0,10,0,5
1612,0,0,4,10,0.0,35,1,1
1613,0,0,4,5,0.0,4,1,1
1617,0,0,4,0,0.0,6,1,1
1621,0,0,4,10,1112.0,35,1,1
1629,1,1,6,7,744.0,31,0,4
1633,1,1,6,8,785.71,14,1,1
1641,1,1,6,7,785.72,10,1,5
1642,0,0,7,6,0.0,34,1,3
1643,1,1,7,6,0.0,34,1,3
1649,1,1,7,8,499.0,19,0,0
1651,1,1,0,8,625.0,14,1,1
1657,0,0,4,0,0.0,5,1,3
1658,0,0,7,5,0.0,20,1,5
1659,1,1,7,7,259.0,30,0,4
1661,1,1,7,10,295.0,11,0,3
1664,0,0,7,7,0.0,31,1,4
1670,0,0,7,0,471.0,15,1,4
1671,0,0,4,10,0.0,34,1,3
1679,1,1,7,10,380.0,20,1,5
1681,0,0,7,6,0.0,34,1,3
1682,0,0,7,6,0.0,34,1,3
1683,1,1,7,5,0.0,34,1,3
1689,1,1,7,6,666.0,15,0,4
1694,0,0,4,10,0.0,33,1,3
1695,0,0,6,8,0.0,33,1,3
1701,1,1,7,7,458.0,33,0,3
1702,1,1,4,0,626.0,8,0,0
1705,1,1,7,8,459.0,28,0,5
1708,0,0,5,9,432.0,14,1,1
1709,1,1,4,8,0.0,20,1,5
1710,1,1,7,0,511.0,1,0,4
1713,1,1,4,6,631.0,33,0,3
1714,1,1,4,6,612.0,33,0,3
1722,0,0,7,8,0.0,35,1,1
1723,1,1,6,0,0.0,33,1,3
1724,1,1,5,6,413.0,10,0,5
1725,0,0,4,10,0.0,8,1,0
1738,1,1,4,6,759.0,20,0,5
1741,1,1,6,10,856.2,10,1,5
1743,1,1,7,5,540.95,30,1,4
1744,1,1,6,10,753.33,20,1,5
1748,0,0,6,6,0.0,9,1,4
1757,0,0,5,8,487.0,1,1,4
1763,1,1,6,5,690.0,31,0,4
1764,0,0,4,8,0.0,8,1,0
1765,1,1,6,0,443.0,10,0,5
1770,1,1,4,0,939.0,14,0,1
1772,1,1,7,5,411.43,1,1,4
1773,0,0,4,8,0.0,8,1,0
1777,1,1,7,8,471.0,25,0,1
1780,1,1,6,7,791.0,30,1,4
1781,1,1,7,0,368.0,15,0,4
1782,1,1,7,0,477.0,15,0,4
1785,1,1,7,6,499.0,15,0,4
1790,0,0,7,10,0.0,28,1,5
1792,1,1,6,8,690.0,20,0,5
1795,0,0,4,5,0.0,4,1,1
1800,0,0,4,8,0.0,28,1,5
1808,1,1,4,5,845.71,20,1,5
1817,1,1,4,7,0.0,4,1,1
1819,0,0,4,5,0.0,8,1,0
1820,0,0,7,10,0.0,28,1,5
1823,1,1,6,6,734.29,1,1,4
1825,0,0,7,10,0.0,28,1,5
1828,0,0,5,10,487.0,20,1,5
1829,0,0,7,5,0.0,20,1,5
1835,1,1,7,6,380.0,15,1,4
1842,1,1,2,10,637.0,31,0,4
1845,1,1,7,6,517.0,15,0,4
1848,1,1,7,10,0.0,28,0,5
1856,0,0,4,8,0.0,34,1,3
1858,1,1,4,0,894.29,14,1,1
1861,0,0,4,7,0.0,9,1,4
1862,1,1,4,9,548.0,15,0,4
1863,1,1,7,0,368.0,35,0,1
1868,0,0,4,7,0.0,28,1,5
1870,0,0,4,0,801.0,8,1,0
1875,0,0,4,9,968.0,15,1,4
1878,1,1,7,10,474.0,20,0,5
1880,1,1,7,10,459.0,8,0,0
1881,1,1,4,9,817.0,25,0,1
1882,0,0,5,6,599.0,31,1,4
1883,0,0,7,7,0.0,15,1,4
1884,1,1,7,5,342.0,1,0,4
1893,0,0,7,0,0.0,15,1,4
1894,1,1,4,5,499.0,19,0,0
1895,1,1,7,7,399.0,25,0,1
1897,1,1,5,5,588.0,15,0,4
1898,1,1,5,8,1099.0,20,0,5
1901,0,0,4,10,0.0,10,1,5
1907,1,1,7,5,771.0,3,0,2
1913,0,0,4,5,0.0,30,1,4
1915,1,1,7,7,299.0,20,0,5
1922,1,1,4,8,916.0,35,0,1
1923,0,0,4,5,597.0,16,1,4
1925,1,1,4,10,627.62,1,1,4
1931,0,0,4,7,0.0,20,1,5
1938,1,1,7,7,399.0,4,0,1
1942,1,1,7,0,459.0,1,0,4
1943,1,1,5,0,0.0,20,1,5
1945,0,0,7,10,0.0,35,1,1
1949,1,1,5,5,540.0,30,0,4
1956,1,1,7,6,353.0,16,0,4
1957,1,1,4,7,636.0,20,0,5
1958,0,0,4,10,0.0,20,1,5
1960,0,0,6,7,744.0,1,1,4
1971,0,0,7,5,0.0,14,1,1
1972,0,0,4,6,0.0,15,1,4
1973,0,0,6,6,0.0,1,1,4
1978,1,1,7,10,286.0,30,0,4
1979,1,1,7,5,399.0,30,0,4
1980,1,1,7,5,353.0,30,0,4
1981,1,1,4,8,852.0,20,0,5
1993,1,1,4,8,0.0,20,1,5
1994,1,1,4,5,631.0,11,0,3
1997,0,0,4,6,0.0,8,1,0
1998,1,1,5,10,518.0,20,0,5
2019,1,1,7,6,316.0,20,0,5
2020,1,1,4,0,856.0,20,0,5
2026,0,0,6,10,690.0,27,1,3
2027,0,1,7,10,0.0,20,1,5
2028,0,0,4,5,788.0,30,1,4
2032,1,1,5,10,359.0,8,0,0
2033,0,0,6,7,0.0,1,1,4
2034,0,0,7,5,0.0,15,1,4
2035,0,0,4,7,0.0,33,1,3
2038,1,1,5,9,0.0,10,0,5
2039,0,0,7,6,471.0,30,1,4
2041,1,1,7,0,342.0,15,0,4
2042,1,1,7,5,0.0,30,0,4
2046,1,1,7,10,474.0,20,0,5
2049,1,1,4,8,635.0,15,0,4
2050,1,1,7,8,487.0,15,0,4
2053,1,1,7,0,0.0,28,1,5
2056,1,1,7,6,362.0,20,0,5
2058,0,0,4,5,0.0,33,1,3
2060,0,0,5,10,540.0,19,1,0
2061,1,1,4,10,621.9,19,1,0
2064,1,1,6,9,885.0,10,0,5
2069,0,0,7,6,0.0,30,1,4
2071,1,1,4,7,696.0,30,0,4
2076,1,1,7,5,476.0,14,0,1
2080,1,1,7,10,259.0,34,0,3
2082,0,0,7,6,353.0,31,1,4
2086,0,0,4,7,0.0,8,1,0
2089,1,1,7,10,316.0,1,0,4
2091,1,1,2,8,999.0,20,0,5
2093,1,1,4,7,586.0,10,0,5
2094,1,1,7,10,458.0,10,0,5
2095,1,1,7,8,884.76,20,1,5
2100,0,0,7,0,0.0,16,1,4
2101,0,0,4,5,0.0,20,1,5
2102,1,1,5,7,690.0,8,0,0
2107,1,1,7,7,1128.0,20,1,5
2110,1,1,6,6,725.0,16,0,4
2114,0,0,7,8,329.0,11,1,3
2115,1,1,7,6,295.0,0,0,1
2119,1,1,6,8,899.0,20,0,5
2120,1,1,4,8,631.0,33,0,3
2126,1,1,4,6,0.0,12,0,3
2127,1,1,6,8,744.0,1,1,4
2129,1,1,0,6,518.0,3,1,2
2132,1,1,6,9,725.0,4,1,1
2133,0,0,6,8,0.0,20,1,5
2134,1,1,7,7,316.0,33,0,3
2139,1,1,7,5,0.0,33,0,3
2144,0,0,7,0,329.0,20,1,5
2146,1,1,7,7,459.0,1,0,4
2150,0,0,7,10,0.0,35,1,1
2151,1,1,4,9,654.0,14,0,1
2152,1,1,7,6,495.0,20,0,5
2155,1,1,7,5,517.0,15,0,4
2160,1,1,4,10,981.25,31,1,4
2169,0,0,4,10,0.0,26,1,4
2171,1,1,4,0,474.0,3,1,2
2173,1,1,7,0,463.81,11,1,3
2174,1,1,4,0,653.0,6,0,1
2175,1,1,5,5,514.29,30,1,4
2178,1,1,6,7,744.0,30,1,4
2181,0,0,7,6,249.0,30,1,4
2182,1,1,4,10,818.0,32,0,2
2192,1,1,5,6,518.0,15,0,4
2195,0,0,4,6,0.0,11,1,3
2201,1,1,7,9,0.0,33,1,3
2202,1,1,1,6,360.0,21,0,2
2203,0,0,4,10,0.0,35,1,1
2204,1,1,4,10,0.0,35,1,1
2205,1,1,7,8,363.0,16,1,4
2211,1,1,4,7,1092.0,15,0,4
2212,1,1,7,8,458.0,11,0,3
